affix_type	affix_count	mean_signs_with_affix	mean_signs_without_affix	t_statistic	p_value	effect_size	significant	strong_effect
accusative	63	3.8412698412698414	3.8045977011494254	0.5737795683556867	0.5669879029907288	0.0955515702314046	False	False
genitive	51	3.8627450980392157	3.797979797979798	0.9746095998311191	0.3313442195419869	0.16906412115809896	False	False
locative	14	3.7142857142857144	3.8308823529411766	-1.0782389995373793	0.28268134074119095	-0.3050426295821902	False	False
ergative	3	3.3333333333333335	3.8299319727891157	-2.2384703889794904	0.026682783290840967	-1.3167212363300582	False	True
present	46	3.869565217391304	3.798076923076923	1.0476868153562844	0.29649087260839857	0.18668591846718893	False	False
dative	8	3.75	3.823943661971831	-0.526614788773785	0.5992494793831005	-0.1928156098066742	False	False
